Platform, cli, lgdt, prot, in 32, id map, long, in 64
Hyper-V,   44, 192,4772, 228,13124, 768, 212
Hyper-V,   40, 184,3992, 224,12836, 776, 212
Hyper-V,   60, 196,4536, 228,13004, 752, 212
Hyper-V,   40, 196,3752, 224,12652, 756, 212
Hyper-V,   60, 196,3700, 228,12372, 748, 212
Hyper-V,   40, 196,3836, 228,12100, 760, 208
Hyper-V,   40, 196,3748, 224,12236, 756, 212
Hyper-V,   40, 196,4032, 224,70478, 780, 212
Hyper-V,   40, 180,4220, 224,13360, 776, 208
Hyper-V,   44, 216,4424, 224,13476, 760, 212
Hyper-V,   44, 264,5132, 228,13700, 756, 212
Hyper-V,   44, 184,4624, 232,13908, 772, 212
Hyper-V,   40, 192,4396, 228,13356, 776, 212
Hyper-V,   44, 196,3864, 224,12500, 776, 212
Hyper-V,   44, 188,3768, 224,12328, 780, 208
Hyper-V,   60, 196,4796, 224,13280, 748, 208
Hyper-V,   44, 200,4348, 224,12968, 760, 208
Hyper-V,   44, 192,3848, 224,12336, 756, 212
Hyper-V,   60, 196,3936, 224,12196, 752, 212
Hyper-V,   44, 192,4596, 228,13268, 756, 208
Hyper-V,   44, 196,4360, 264,12916, 772, 212
Hyper-V,   60, 200,3760, 224,12392, 756, 208
Hyper-V,   44, 200,3888, 264,12404, 772, 208
Hyper-V,   40, 188,4280, 228,108208, 784, 212
Hyper-V,   44, 192,4472, 232,13140, 768, 208
Hyper-V,   40, 196,4388, 224,12872, 756, 212
Hyper-V,   44, 192,4360, 232,13260, 776, 212
Hyper-V,   44, 192,4036, 228,12704, 772, 212
Hyper-V,   44, 192,4260, 228,12776, 760, 208
Hyper-V,   40, 200,3544, 228,12644, 772, 208
Hyper-V,   44, 192,4584, 224,12904, 772, 212
Hyper-V,   40, 192,3876, 228,12288, 772, 208
Hyper-V,   40, 192,4584, 228,13676, 756, 212
Hyper-V,   44, 192,4256, 224,65916, 840, 276
Hyper-V,   44, 192,3884, 228,12468, 764, 212
Hyper-V,   40, 188,5016, 232,13620, 776, 212
Hyper-V,   40, 188,4340, 228,194812, 788, 212
Hyper-V,   40, 204,4532, 228,13264, 760, 212
Hyper-V,   44, 192,4120, 232,12724, 772, 208
Hyper-V,   44, 192,4076, 224,12468, 776, 208
Hyper-V,   40, 192,3696, 232,90848, 780, 212
Hyper-V,   44, 188,4444, 228,12912, 776, 212
Hyper-V,   40, 200,5236, 232,13260, 776, 212
Hyper-V,   44, 196,4456, 228,12712, 772, 212
Hyper-V,   40, 192,3852, 224,12704, 776, 212
Hyper-V,   40, 192,4748, 232,13436, 776, 212
Hyper-V,   40, 196,4280, 228,12616, 772, 212
Hyper-V,   44, 196,4472, 224,12344, 772, 208
Hyper-V,   40, 196,4164, 224,12308, 772, 208
Hyper-V,   44, 192,3776, 224,12048, 776, 212
Hyper-V,   40, 200,3844, 228,11972, 772, 208
Hyper-V,   40, 196,3868, 228,11984, 772, 212
Hyper-V,   44, 184,4596, 228,13088, 776, 212
Hyper-V,   44, 184,4032, 228,12816, 772, 212
Hyper-V,   40, 188,3816, 232,12248, 772, 212
Hyper-V,   40, 188,3952, 224,12144, 780, 208
Hyper-V,   44, 184,3732, 224,12040, 776, 212
Hyper-V,   44, 188,3648, 224,12020, 776, 208
Hyper-V,   44, 188,3768, 224,12068, 772, 212
Hyper-V,   44, 188,3676, 224,11940, 776, 208
Hyper-V,   44, 184,3752, 224,12020, 780, 208
Hyper-V,   44, 188,3716, 224,12032, 780, 212
Hyper-V,   40, 188,5028, 224,52456, 784, 212
Hyper-V,   44, 184,4548, 228,12680, 780, 208
Hyper-V,   44, 184,4052, 232,12632, 776, 212
Hyper-V,   40, 180,3684, 224,12516, 776, 208
Hyper-V,   40, 184,3848, 224,12024, 776, 208
Hyper-V,   40, 200,4588, 228,13316, 772, 208
Hyper-V,   40, 196,4352, 228,12608, 772, 208
Hyper-V,   44, 192,4048, 232,12532, 772, 208
Hyper-V,   44, 192,3920, 224,12240, 772, 208
Hyper-V,   40,1060,4868, 224,14204, 776, 208
Hyper-V,   40, 196,4956, 228,14724, 760, 208
Hyper-V,   44, 192,4168, 224,13092, 772, 208
Hyper-V,   44, 188,4632, 232,14236, 776, 208
Hyper-V,   60, 192,4112, 224,13648, 752, 208
Hyper-V,   44, 192,3820, 224,13024, 760, 208
Hyper-V,   60, 188,3728, 224,12400, 760, 212
Hyper-V,   44, 188,3636, 224,12496, 760, 212
Hyper-V,   40, 196,5000, 228,13556, 772, 212
Hyper-V,   40, 196,4300, 224,13012, 772, 208
Hyper-V,   40, 252,4468, 232,12624, 776, 208
Hyper-V,   44, 192,5504, 228,13448, 776, 212
Hyper-V,   44, 192,4472, 224,13260, 760, 212
Hyper-V,   44, 184,4024, 224,13028, 776, 208
Hyper-V,   44, 188,4772, 224,13808, 764, 208
Hyper-V,   44, 196,4784, 224,13732, 760, 212
Hyper-V,   40, 192,4596, 224,13216, 772, 212
Hyper-V,   44, 184,4092, 232,12744, 776, 212
Hyper-V,   40, 188,4056, 224,12288, 780, 208
Hyper-V,   44, 188,3696, 228,12108, 776, 212
Hyper-V,   44, 192,4552, 228,13356, 788, 208
Hyper-V,   40, 204,4388, 228,12796, 776, 208
Hyper-V,   44, 192,3948, 232,12660, 772, 208
Hyper-V,   44, 192,3896, 224,12008, 776, 208
Hyper-V,   40, 200,3784, 228,12080, 768, 212
Hyper-V,   40, 184,4912, 232,14136, 776, 212
Hyper-V,   44, 196,4644, 232,12640, 772, 212
Hyper-V,   40, 172,3704, 228,12296, 772, 212
Hyper-V,   40, 188,5036, 240,13684, 776, 212
Hyper-V,   44, 184,4108, 224,12708, 768, 212
Hyper-V,   40, 188,3808, 228,12376, 776, 212
Hyper-V,   40, 192,3828, 228,12228, 776, 212
Hyper-V,   40, 196,4280, 240,42064, 776, 212
Hyper-V,   40, 196,4120, 224,12716, 776, 208
Hyper-V,   40, 196,3828, 224,12280, 776, 208
Hyper-V,   44, 192,3804, 224,12116, 776, 208
Hyper-V,   40, 192,3776, 228,12052, 776, 208
Hyper-V,   40, 192,3720, 224,12044, 772, 208
Hyper-V,   40, 180,4832, 232,13376, 780, 212
Hyper-V,   40, 180,4136, 228,12684, 780, 212
Hyper-V,   44, 184,3916, 228,12352, 792, 208
Hyper-V,   40, 184,3828, 224,12072, 776, 212
Hyper-V,   40, 192,3876, 224,12044, 756, 212
Hyper-V,   40, 188,4516, 224,13372, 768, 212
Hyper-V,   40, 192,4048, 228,12944, 776, 212
Hyper-V,   40, 188,3828, 224,12596, 776, 208
Hyper-V,   44, 188,3748, 224,12408, 776, 212
Hyper-V,   40, 184,3824, 224,12020, 780, 208
Hyper-V,   40, 188,3792, 228,11976, 772, 212
Hyper-V,   40, 192,3760, 224,12084, 772, 212
Hyper-V,   44, 188,3808, 224,12024, 776, 212
Hyper-V,   44, 184,3848, 224,11960, 776, 212
Hyper-V,   44, 184,3504, 228,12072, 780, 208
Hyper-V,   44, 188,3840, 224,12088, 776, 212
Hyper-V,   40, 188,3652, 232,12004, 776, 212
Hyper-V,   44, 180,4612, 228,13476, 780, 212
Hyper-V,   44, 184,4276, 232,12952, 776, 208
Hyper-V,   44, 184,3744, 228,12476, 772, 212
Hyper-V,   40, 188,3708, 224,12000, 772, 212
Hyper-V,   40, 192,3720, 224,12044, 776, 212
Hyper-V,   40, 184,3716, 224,12044, 776, 208
Hyper-V,   44, 188,3876, 224,12616, 776, 212
Hyper-V,   44, 192,3840, 224,12648, 780, 208
Hyper-V,   40, 260,6248, 228,14716, 772, 212
Hyper-V,   40, 204,4156, 232,13296, 776, 208
Hyper-V,   40, 196,3996, 228,12544, 776, 212
Hyper-V,   44, 248,4608, 224,14016, 764, 212
Hyper-V,   44, 188,5040, 228,13636, 772, 212
Hyper-V,   44, 196,4144, 228,13216, 772, 212
Hyper-V,   44, 188,4024, 240,12928, 752, 208
Hyper-V,   44, 180,3980, 224,12592, 780, 208
Hyper-V,   44, 184,3876, 228,12248, 776, 212
Hyper-V,   44, 184,3648, 224,12096, 776, 212
Hyper-V,   40, 192,4304, 224,13256, 776, 208
Hyper-V,   40, 192,3764, 224,12712, 772, 212
Hyper-V,   44, 188,3776, 228,12312, 780, 208
Hyper-V,   40, 188,3816, 228,12056, 776, 212
Hyper-V,   44, 188,3764, 224,12040, 776, 212
Hyper-V,   40, 188,3980, 228,13004, 760, 212
Hyper-V,   44, 180,3936, 228,12428, 776, 208
Hyper-V,   40, 192,4496, 232,13216, 772, 212
Hyper-V,   44, 192,4092, 228,12668, 772, 212
Hyper-V,   40, 196,3460, 224,12380, 772, 208
Hyper-V,   40, 196,3992, 228,12012, 772, 212
Hyper-V,   40, 192,3880, 224,11952, 776, 212
Hyper-V,   44, 188,3768, 224,11880, 776, 208
Hyper-V,   40, 192,4424, 228,12372, 764, 208
Hyper-V,   40, 196,4808, 232,13476, 776, 208
Hyper-V,   44, 196,4436, 228,12800, 772, 208
Hyper-V,   40, 196,4120, 228,12576, 768, 212
Hyper-V,   44, 192,3828, 228,12228, 772, 212
Hyper-V,   40, 196,3756, 228,11944, 772, 212
Hyper-V,   44, 196,3704, 224,12024, 772, 212
Hyper-V,   40, 192,3772, 224,12048, 776, 208
Hyper-V,   40, 196,3868, 224,11972, 772, 212
Hyper-V,   40, 196,3816, 228,11960, 772, 212
Hyper-V,   44, 192,3700, 228,12068, 756, 212
Hyper-V,   44, 196,3840, 224,11928, 772, 212
