Platform, cli, lgdt, prot, in main
KVM,   24, 129,60754, 285
KVM,   79, 129,60317, 275
KVM,   24, 129,59717, 272
KVM,   86, 122,59898, 272
KVM,   34, 119,60192, 278
KVM,   79, 129,121900, 272
KVM,   86, 122,60329, 272
KVM,   34, 119,59864, 282
KVM,   86, 119,60213, 275
KVM,   79, 129,60632, 275
KVM,   34, 119,59779, 278
KVM,   34, 119,60167, 272
KVM,   34, 119,59812, 272
KVM,   34, 119,126495, 272
KVM,   34, 122,59601, 285
KVM,   27, 126,60179, 272
KVM,   24, 122,59846, 282
KVM,   31, 122,60391, 275
KVM,   34, 119,60675, 278
KVM,   34, 122,86950, 279
KVM,   34, 119,60571, 272
KVM,   79, 126,60142, 279
KVM,   31, 122,60271, 272
KVM,   24, 129,60298, 279
KVM,   34, 119,57112, 278
KVM,   34, 119,60100, 272
KVM,   31, 122,59660, 275
KVM,   31, 122,59892, 272
KVM,   27, 129,59901, 272
KVM,   79, 129,60060, 275
KVM,   34, 119,60158, 272
KVM,   27, 119,59810, 275
KVM,   86, 122,59528, 278
KVM,   86, 122,60164, 275
KVM,   86, 122,113219, 285
KVM,   31, 122,60231, 282
KVM,   34, 119,59470, 275
KVM,   24, 129,59913, 272
KVM,   31, 122,60088, 272
KVM,   27, 126,60509, 282
KVM,   86, 122,60069, 251
KVM,   86, 122,59681, 272
KVM,   31, 122,79640, 272
KVM,   79, 129,60075, 285
KVM,   24, 129,59995, 282
KVM,   27, 126,60320, 272
KVM,   34, 122,59436, 282
KVM,   34, 119,60115, 285
KVM,   34, 119,60586, 282
KVM,   27, 126,60118, 275
KVM,   86, 119,59898, 285
KVM,   31, 122,59925, 279
KVM,   86, 122,59929, 278
KVM,   79, 129,59907, 272
KVM,   31, 122,60219, 272
KVM,   34, 119,60192, 272
KVM,   34, 119,60290, 272
KVM,   79, 126,59674, 272
KVM,   31, 122,60103, 272
KVM,   34, 122,59978, 272
KVM,   24, 129,60347, 282
KVM,   31, 122,159787, 272
KVM,   24, 129,60295, 282
KVM,   86, 122,60185, 279
KVM,   31, 122,60357, 275
KVM,   86, 122,63862, 282
KVM,   27, 126,59989, 279
KVM,   79, 129,60032, 282
KVM,   24, 122,60320, 279
KVM,   34, 119,60424, 285
KVM,   31, 122,60253, 275
KVM,   27, 126,60586, 278
KVM,   79, 129,177736, 269
KVM,   86, 122,60935, 279
KVM,   86, 122,60002, 272
KVM,   86, 122,158668, 275
KVM,   79, 126,59784, 279
KVM,   86, 122,59901, 272
KVM,   34, 119,60002, 275
KVM,   86, 119,60253, 275
KVM,   34, 119,60124, 272
KVM,   31, 122,60314, 272
KVM,   79, 129,60457, 282
KVM,   27, 126,60026, 282
KVM,   24, 129,60139, 279
KVM,   86, 122,60259, 275
KVM,   86, 122,60265, 282
KVM,   31, 122,59950, 282
KVM,   24, 122,59770, 275
KVM,   86, 122,60375, 272
KVM,   24, 129,60026, 272
KVM,   79, 119,59681, 272
KVM,   86, 119,124253, 275
KVM,   31, 122,59865, 272
KVM,   31, 122,59864, 282
KVM,   79, 126,59959, 272
KVM,   79, 129,59555, 275
KVM,   27, 126,60188, 282
KVM,   27, 129,59494, 275
KVM,   27, 129,59720, 285
KVM,   27, 126,61090, 279
KVM,   86, 119,60586, 272
KVM,   86, 122,60614, 272
KVM,   86, 122,59635, 282
KVM,   34, 119,59969, 278
KVM,   34, 122,60057, 282
KVM,   24, 122,60005, 279
KVM,   86, 119,59861, 282
KVM,   79, 129,60308, 272
KVM,   31, 122,59941, 272
KVM,   27, 129,59953, 275
KVM,   86, 119,60204, 275
KVM,   34, 122,59846, 272
KVM,   79, 129,60228, 272
KVM,   34, 119,59660, 275
KVM,   24, 129,59898, 272
KVM,   86, 119,60284, 275
KVM,   34, 119,59959, 275
KVM,   31, 122,59806, 282
KVM,   34, 119,59824, 282
KVM,   34, 122,59935, 272
KVM,   79, 119,60100, 282
KVM,   34, 122,60005, 282
KVM,   79, 132,60393, 275
KVM,   34, 119,59696, 279
KVM,   27, 119,60599, 272
KVM,   31, 122,60250, 272
KVM,   86, 119,59904, 272
KVM,   31, 122,59855, 272
KVM,   34, 119,60137, 272
KVM,   86, 119,59843, 272
KVM,   34, 119,59977, 282
KVM,   86, 119,59996, 278
KVM,   31, 122,60482, 275
KVM,   79, 126,60060, 278
KVM,   31, 122,59968, 282
KVM,   79, 129,60402, 279
KVM,   31, 122,60329, 272
KVM,   86, 119,60550, 275
KVM,   79, 132,60118, 275
KVM,   34, 119,60259, 272
KVM,   27, 126,60167, 275
KVM,   79, 126,60170, 272
KVM,   27, 132,60418, 275
KVM,   24, 129,60173, 272
KVM,   24, 129,60369, 278
KVM,   31, 122,60222, 282
KVM,   31, 122,59898, 272
KVM,   79, 119,60299, 275
KVM,   34, 119,59855, 275
