n,latency,throughput,is_vm
10,0.000367999,480979.5678792606,false
10,0.000331971,533179.1029939362,false
10,0.000318782,555238.3760689123,false
10,0.000491747,359941.1892700922,false
10,0.000452381,391263.1167091456,false
10,0.000415408,426087.12398413126,false
10,0.000432395,409347.9341805525,false
10,0.000541538,326846.8694717637,false
10,0.000465713,380062.3989452732,false
10,0.000475825,371985.498870383,false
10,0.000499247,354533.92809571215,false
10,0.000448034,395059.3035349996,false
10,0.000584927,302601.86313847714,false
10,0.000440111,402171.2704295053,false
10,0.000510252,346887.42033348227,false
10,0.000632288,279935.7254921808,false
10,0.00044244,400054.24464334146,false
10,0.000548893,322467.2203872157,false
10,0.000459144,385499.97386440856,false
10,0.00050175,352765.32137518685,false
10,0.000500833,353411.21691262355,false
10,0.000541295,326993.5986846359,false
10,0.000423751,417698.1293259485,false
10,0.000535209,330711.92749000853,false
10,0.000469525,376976.73180341837,false
10,0.000495791,357005.2703659405,false
10,0.000578527,305949.4198196454,false
10,0.000555982,318355.63021824445,false
10,0.000542569,326225.7887936834,false
10,0.000493527,358642.9921767198,false
10,0.000565668,312904.38914699084,false
10,0.000841892,210240.74346828333,false
10,0.000534135,331376.89909854246,false
10,0.000554904,318974.09281605465,false
10,0.000716199,247138.0161100476,false
10,0.000405651,436335.667852415,false
10,0.000637845,277496.8840392259,false
10,0.000532703,332267.6988866216,false
10,0.000490656,360741.53785951866,false
10,0.000557443,317521.2532940587,false
10,0.000465937,379879.68330482446,false
10,0.000472593,374529.4576940412,false
10,0.000556139,318265.7573016818,false
10,0.000461875,383220.5683355886,false
10,0.000534468,331170.4348997508,false
10,0.000406807,435095.7579392685,false
10,0.000454305,389606.1016277611,false
10,0.000308678,573413.0712263265,false
10,0.000395585,447438.60358709254,false
10,0.000354426,499399.0282879924,false
10,0.000313851,563961.8800003824,false
10,0.000431611,410091.4944243775,false
10,0.000389352,454601.49170930166,false
10,0.000688471,257091.43885508613,false
10,0.000374332,472842.28973210946,false
10,0.000482468,366863.7090957328,false
10,0.00044877,394411.3911357711,false
10,0.000471703,375236.1125538739,false
10,0.00051034,346827.6051259945,false
10,0.00784969,22548.66115731959,false
10,0.000485176,364816.0667469125,false
10,0.000465228,380458.6138409554,false
10,0.000351129,504088.2410737934,false
10,0.000423163,418278.5356942833,false
10,0.002610539,67802.08991323248,false
10,0.000423062,418378.39371061453,false
10,0.000409202,432549.2055268547,false
10,0.000502641,352139.9965382848,false
10,0.000399983,442518.8070492996,false
10,0.000477571,370625.5195562545,false
10,0.00047041,376267.51131991245,false
10,0.000444143,398520.2963910272,false
10,0.000377022,469468.6251730668,false
10,0.000549535,322090.49469096604,false
10,0.000422412,419022.1868696912,false
10,0.000491796,359905.32659883366,false
10,0.000464421,381119.7168086714,false
10,0.000525286,336959.29455572774,false
10,0.000462752,382494.2950003458,false
10,0.000434078,407760.8171803224,false
10,0.00047931,369280.8412092383,false
10,0.000463861,381579.8267153307,false
10,0.000602994,293535.259057304,false
10,0.000433505,408299.7889297701,false
10,0.000464512,381045.05373381096,false
10,0.00043511,406793.6843556802,false
10,0.00043035,411293.1334959916,false
10,0.000551281,321070.3797156078,false
10,0.00040263,439609.5670963415,false
10,0.000366482,482970.51424080855,false
10,0.00033724,524848.7723876172,false
10,0.001236544,143140.88297707157,false
10,0.001131026,156495.0761520955,false
10,0.000391678,451901.81730911613,false
10,0.000437605,404474.3547262943,false
10,0.008145432,21729.970859740773,false
10,0.000538631,328610.8671799432,false
10,0.000400988,441409.7179965485,false
10,0.002314566,76472.2198459668,false
10,0.000553349,319870.4614989817,false
