n,latency,throughput,is_vm
15,0.001987938,992485.6811429734,false
15,0.002017217,978080.1966273336,false
15,0.001983684,994614.0615138299,false
15,0.001817493,1085561.2648852016,false
15,0.001719494,1147430.5813221796,false
15,0.001651705,1194523.235081325,false
15,0.001720894,1146497.111385129,false
15,0.001695073,1163961.670087365,false
15,0.001965429,1003852.085219054,false
15,0.002034477,969782.4059942679,false
15,0.002323936,848990.6778844168,false
15,0.001710234,1153643.302612391,false
15,0.001931229,1021629.2319554025,false
15,0.001698595,1161548.2207353725,false
15,0.009148635,215660.58761771565,false
15,0.001927784,1023454.9098861697,false
15,0.001803939,1093717.6922279522,false
15,0.001811242,1089307.778861135,false
15,0.001824361,1081474.5546522865,false
15,0.001634737,1206921.9697113358,false
15,0.001769286,1115139.101309794,false
15,0.001902214,1037212.4272032485,false
15,0.001932434,1020992.1787755752,false
15,0.001805549,1092742.42903405,false
15,0.002059586,957959.5122514913,false
15,0.001877952,1050612.582217224,false
15,0.00176075,1120545.222206446,false
15,0.002119848,930727.108736098,false
