n,latency,throughput,is_vm
0,0.00025444,3930.1996541424305,false
0,0.000167967,5953.550399780909,false
0,0.000291744,3427.6626083141387,false
0,0.000278718,3587.855825601504,false
0,0.000105279,9498.570465144996,false
0,0.000245555,4072.4074036366596,false
0,0.00019926,5018.568704205561,false
0,0.000208997,4784.757675947501,false
0,0.000316744,3157.1237339933828,false
0,0.000444082,2251.836372561824,false
0,0.000282461,3540.3117598535723,false
0,0.000282934,3534.39318003492,false
0,0.000229998,4347.863894468647,false
0,0.00027812,3595.570257442831,false
0,0.000210387,4753.145393964456,false
0,0.00022732,4399.084990322012,false
0,0.000215861,4632.61080046882,false
0,0.000191598,5219.2611613899935,false
0,0.000227794,4389.931253676567,false
0,0.000264292,3783.6937932287015,false
0,0.001964971,508.9133630979796,false
0,0.000176199,5675.401108973377,false
0,0.000209608,4770.810274417007,false
0,0.000239506,4175.260745033527,false
0,0.000331236,3018.9955198106486,false
0,0.000410269,2437.4252015141287,false
0,0.000224905,4446.321780307241,false
0,0.000428961,2331.214259571383,false
0,0.000259471,3853.995244169869,false
0,0.000386967,2584.199686278158,false
0,0.000273699,3653.648716290523,false
0,0.000163445,6118.266083391967,false
0,0.000216462,4619.748500891611,false
0,0.000171678,5824.858164703689,false
0,0.000185791,5382.392042671604,false
0,0.000367799,2718.876342785054,false
0,0.000235861,4239.785297272546,false
0,0.000184782,5411.782532930696,false
0,0.000203553,4912.725432688292,false
0,0.000078472,12743.398919359772,false
0,0.000236093,4235.61901454088,false
0,0.000390705,2559.4758193521966,false
0,0.000206727,4837.297498633464,false
0,0.000217462,4598.504566315034,false
0,0.000115413,8664.535191009678,false
0,0.000234823,4258.526634954838,false
0,0.000325323,3073.8681249097053,false
0,0.000347024,2881.6450735395824,false
0,0.00041554,2406.5071954565146,false
0,0.000248598,4022.5585081135005,false
0,0.000384474,2600.9561114665753,false
0,0.000212686,4701.766924010043,false
0,0.000191701,5216.456878159216,false
0,0.000165263,6050.961195185855,false
0,0.000198443,5039.230408731979,false
0,0.000179392,5574.384587941491,false
0,0.000242723,4119.922710249955,false
0,0.000193553,5166.543530712518,false
0,0.000366836,2726.0138045339063,false
0,0.000161606,6187.889063524869,false
0,0.000333821,2995.617411726644,false
0,0.000246825,4051.453458928391,false
0,0.00017434,5735.918320523117,false
0,0.000146062,6846.407689885117,false
0,0.000194964,5129.152048583328,false
0,0.000194583,5139.195099263554,false
0,0.000181147,5520.378477148393,false
0,0.000134067,7458.957088619869,false
0,0.000284013,3520.9655896032928,false
0,0.000281566,3551.565174772522,false
0,0.000376595,2655.372482374965,false
0,0.000237415,4212.03378051092,false
0,0.000253069,3951.491490463075,false
0,0.000155372,6436.166104574827,false
0,0.000190974,5236.314891032287,false
0,0.000185175,5400.297016335899,false
0,0.000156541,6388.102797350215,false
0,0.000170881,5852.0256786886775,false
0,0.000312047,3204.6454540501913,false
0,0.000372792,2682.4609970171036,false
0,0.000160604,6226.494981445045,false
0,0.000165874,6028.67236577161,false
0,0.00042561,2349.56885411527,false
0,0.000318444,3140.2695607390942,false
0,0.000290537,3441.902408299115,false
0,0.000214846,4654.496709270827,false
0,0.000226267,4419.557425519409,false
0,0.000233945,4274.508965782556,false
0,0.000233562,4281.518397684555,false
0,0.000329329,3036.4772006109392,false
0,0.000215772,4634.521624677901,false
0,0.000321931,3106.2556883307293,false
0,0.000181983,5495.018765489084,false
0,0.000299004,3344.4368637208863,false
0,0.000246796,4051.929528841634,false
0,0.000362489,2758.7044020646144,false
0,0.000272154,3674.390234940512,false
0,0.000300075,3332.500208281263,false
0,0.000296962,3367.4342171725675,false
0,0.000185466,5391.823838331555,false
