n,latency,throughput,is_vm
10,0.398567683,480979.5678792606,true
10,0.239859644,533179.1029939362,true
10,0.159322471,555238.3760689123,true
10,0.225424989,359941.1892700922,true
10,0.238901596,391263.1167091456,true
10,0.142762677,426087.12398413126,true
10,0.122613848,409347.9341805525,true
10,0.212073403,326846.8694717637,true
10,0.106518111,380062.3989452732,true
10,0.211399843,371985.498870383,true
10,0.159382521,354533.92809571215,true
10,0.251091619,395059.3035349996,true
10,0.212943496,302601.86313847714,true
10,0.239125964,402171.2704295053,true
10,0.132394089,346887.42033348227,true
10,0.159290834,279935.7254921808,true
10,0.184864337,400054.24464334146,true
10,0.132902825,322467.2203872157,true
10,0.225016889,385499.97386440856,true
10,0.186244144,352765.32137518685,true
10,0.132346711,353411.21691262355,true
10,0.211820089,326993.5986846359,true
10,0.146243432,417698.1293259485,true
10,0.185669672,330711.92749000853,true
10,0.168773145,376976.73180341837,true
10,0.162270904,357005.2703659405,true
10,0.159392155,305949.4198196454,true
10,0.158898689,318355.63021824445,true
10,0.211930357,326225.7887936834,true
10,0.198634264,358642.9921767198,true
10,0.159476333,312904.38914699084,true
10,0.172385434,210240.74346828333,true
10,0.212093841,331376.89909854246,true
10,0.198461461,318974.09281605465,true
10,0.172588434,247138.0161100476,true
10,0.118085081,436335.667852415,true
10,0.238835928,277496.8840392259,true
10,0.19882152,332267.6988866216,true
10,0.200037482,360741.53785951866,true
10,0.159268989,317521.2532940587,true
10,0.177854891,379879.68330482446,true
10,0.112616179,374529.4576940412,true
10,0.198581211,318265.7573016818,true
10,0.159570567,383220.5683355886,true
10,0.179901767,331170.4348997508,true
10,0.190994086,435095.7579392685,true
10,0.129464417,389606.1016277611,true
10,0.14907857,573413.0712263265,true
10,0.146159757,447438.60358709254,true
10,0.145370203,499399.0282879924,true
10,0.159272996,563961.8800003824,true
10,0.132753948,410091.4944243775,true
10,0.155377012,454601.49170930166,true
10,0.175945253,257091.43885508613,true
10,0.225234375,472842.28973210946,true
10,0.159299021,366863.7090957328,true
10,0.166378219,394411.3911357711,true
10,0.151460008,375236.1125538739,true
10,0.174072472,346827.6051259945,true
10,0.224060419,22548.66115731959,true
10,0.178737844,364816.0667469125,true
10,0.225188306,380458.6138409554,true
10,0.305537491,504088.2410737934,true
10,0.093627932,418278.5356942833,true
10,0.198092161,67802.08991323248,true
10,0.197453976,418378.39371061453,true
10,0.225892579,432549.2055268547,true
10,0.172649456,352139.9965382848,true
10,0.197526211,442518.8070492996,true
10,0.133496139,370625.5195562545,true
10,0.171511115,376267.51131991245,true
10,0.198386337,398520.2963910272,true
10,0.132561029,469468.6251730668,true
10,0.132516289,322090.49469096604,true
10,0.172149403,419022.1868696912,true
10,0.18522279,359905.32659883366,true
10,0.119535265,381119.7168086714,true
10,0.17164403,336959.29455572774,true
10,0.093281568,382494.2950003458,true
10,0.171629828,407760.8171803224,true
10,0.198804338,369280.8412092383,true
10,0.119571751,381579.8267153307,true
10,0.185222767,293535.259057304,true
10,0.22499191,408299.7889297701,true
10,0.12970226,381045.05373381096,true
10,0.187974607,406793.6843556802,true
10,0.265409448,411293.1334959916,true
10,0.252254999,321070.3797156078,true
10,0.161903204,439609.5670963415,true
10,0.153245609,482970.51424080855,true
10,0.242267343,524848.7723876172,true
10,0.186168179,143140.88297707157,true
10,0.237902693,156495.0761520955,true
10,0.172362193,451901.81730911613,true
10,0.172005234,404474.3547262943,true
10,0.17258178,21729.970859740773,true
10,0.167257768,328610.8671799432,true
10,0.13004904,441409.7179965485,true
10,0.118956257,76472.2198459668,true
10,0.117421404,319870.4614989817,true
