n,latency,throughput,is_vm
0,0.003636899,3930.1996541424305,true
0,0.000128197,5953.550399780909,true
0,0.000332067,3427.6626083141387,true
0,0.000302873,3587.855825601504,true
0,0.000219365,9498.570465144996,true
0,0.000154188,4072.4074036366596,true
0,0.000247735,5018.568704205561,true
0,0.000214295,4784.757675947501,true
0,0.000159444,3157.1237339933828,true
0,0.000153362,2251.836372561824,true
0,0.000204452,3540.3117598535723,true
0,0.000158538,3534.39318003492,true
0,0.000139879,4347.863894468647,true
0,0.000199873,3595.570257442831,true
0,0.000209318,4753.145393964456,true
0,0.000212341,4399.084990322012,true
0,0.000254293,4632.61080046882,true
0,0.000283038,5219.2611613899935,true
0,0.000171202,4389.931253676567,true
0,0.000110591,3783.6937932287015,true
0,0.000119951,508.9133630979796,true
0,0.000259817,5675.401108973377,true
0,0.000104829,4770.810274417007,true
0,0.000129782,4175.260745033527,true
0,0.000094833,3018.9955198106486,true
0,0.000129479,2437.4252015141287,true
0,0.00015272,4446.321780307241,true
0,0.000127038,2331.214259571383,true
0,0.000130902,3853.995244169869,true
0,0.000126185,2584.199686278158,true
0,0.000154323,3653.648716290523,true
0,0.000182474,6118.266083391967,true
0,0.000147694,4619.748500891611,true
0,0.000149754,5824.858164703689,true
0,0.000145904,5382.392042671604,true
0,0.000165851,2718.876342785054,true
0,0.000187697,4239.785297272546,true
0,0.000161098,5411.782532930696,true
0,0.000139095,4912.725432688292,true
0,0.000079705,12743.398919359772,true
0,0.00014614,4235.61901454088,true
0,0.000128186,2559.4758193521966,true
0,0.000186287,4837.297498633464,true
0,0.000136438,4598.504566315034,true
0,0.000194509,8664.535191009678,true
0,0.000132915,4258.526634954838,true
0,0.000144646,3073.8681249097053,true
0,0.000124588,2881.6450735395824,true
0,0.00013809,2406.5071954565146,true
0,0.000139467,4022.5585081135005,true
0,0.000148395,2600.9561114665753,true
0,0.000131738,4701.766924010043,true
0,0.000123531,5216.456878159216,true
0,0.000140115,6050.961195185855,true
0,0.000133378,5039.230408731979,true
0,0.000125638,5574.384587941491,true
0,0.000145938,4119.922710249955,true
0,0.000134802,5166.543530712518,true
0,0.000125769,2726.0138045339063,true
0,0.000184553,6187.889063524869,true
0,0.000142428,2995.617411726644,true
0,0.00013023,4051.453458928391,true
0,0.000226201,5735.918320523117,true
0,0.000112977,6846.407689885117,true
0,0.000145431,5129.152048583328,true
0,0.00013418,5139.195099263554,true
0,0.000115349,5520.378477148393,true
0,0.000163935,7458.957088619869,true
0,0.000126188,3520.9655896032928,true
0,0.000075615,3551.565174772522,true
0,0.000127502,2655.372482374965,true
0,0.000192873,4212.03378051092,true
0,0.0001712,3951.491490463075,true
0,0.000134348,6436.166104574827,true
0,0.000137457,5236.314891032287,true
0,0.000219597,5400.297016335899,true
0,0.000155728,6388.102797350215,true
0,0.00012909,5852.0256786886775,true
0,0.000158575,3204.6454540501913,true
0,0.000071322,2682.4609970171036,true
0,0.000150558,6226.494981445045,true
0,0.000130434,6028.67236577161,true
0,0.000126374,2349.56885411527,true
0,0.000135128,3140.2695607390942,true
0,0.000145162,3441.902408299115,true
0,0.000138727,4654.496709270827,true
0,0.000150349,4419.557425519409,true
0,0.00012802,4274.508965782556,true
0,0.000129714,4281.518397684555,true
0,0.000160416,3036.4772006109392,true
0,0.000195878,4634.521624677901,true
0,0.000146469,3106.2556883307293,true
0,0.000139014,5495.018765489084,true
0,0.000151626,3344.4368637208863,true
0,0.000172749,4051.929528841634,true
0,0.000153735,2758.7044020646144,true
0,0.000088954,3674.390234940512,true
0,0.000155719,3332.500208281263,true
0,0.000160769,3367.4342171725675,true
0,0.000155572,5391.823838331555,true
