n,latency,throughput,is_vm
5,0.110551717,82336.1510593918,true
5,0.02703919,73565.11248105697,true
5,0.065956497,68826.59826832279,true
5,0.026589107,52285.03009874899,true
5,0.052672633,70611.82795192747,true
5,0.066337853,84268.71608184178,true
5,0.052821042,51309.94284072368,true
5,0.092937835,86453.3382515677,true
5,0.039950978,57226.57144165179,true
5,0.039957417,127313.93069029613,true
5,0.03963783,58060.32080262587,true
5,0.026456673,61804.69715698393,true
5,0.026280965,48919.371092565234,true
5,0.039455333,62220.26804491474,true
5,0.066397361,42052.380445082395,true
5,0.066139013,43213.344280713885,true
5,0.039580426,125678.66478986527,true
5,0.052818398,49528.652325370225,true
5,0.066141554,56740.593355298246,true
5,0.040015525,117041.19850187267,true
5,0.039425754,99183.39008827321,true
5,0.052954049,86305.6023843361,true
5,0.066501374,62257.97213333167,true
5,0.039807645,89797.23783696414,true
5,0.052529212,91199.8248963362,true
5,0.06639185,93209.96476663332,true
5,0.079946566,62511.98146311377,true
5,0.040268178,99468.83641355163,true
5,0.079166528,88375.13477208052,true
5,0.079352581,123449.67779634095,true
5,0.04031878,108230.57441573527,true
5,0.066221139,110578.69517139699,true
5,0.053616195,103285.86773900349,true
5,0.040090047,105190.81614047884,true
5,0.065259282,83742.7422956677,true
5,0.079915629,61148.61559534292,true
5,0.07913382,78761.65672519534,true
5,0.066858943,98625.1651971517,true
5,0.026771016,67433.61160937058,true
5,0.080234404,108686.98871829057,true
5,0.065452228,38174.44704313458,true
5,0.052522596,21981.307096445184,true
5,0.039832213,72380.54796900183,true
5,0.026290112,102962.57653551521,true
5,0.053637533,92969.63611684424,true
5,0.078678133,92629.75885386113,true
5,0.027023553,84125.98707824838,true
5,0.059359928,44628.91060829205,true
5,0.046829644,40998.5049211872,true
5,0.078666801,66885.75467196996,true
5,0.040151981,108573.70344902464,true
5,0.039345052,104896.57198002769,true
5,0.079491691,51430.45231368461,true
5,0.053204194,36964.477137470894,true
5,0.052676259,95588.2821511187,true
5,0.066060358,45386.1911000705,true
5,0.079505381,36568.77611620094,true
5,0.053038656,116786.95723261626,true
5,0.05321124,113557.21769675681,true
5,0.092654818,100244.59681623161,true
5,0.053330181,106454.70352365068,true
5,0.039842127,82689.73158913126,true
5,0.065795014,99717.46717633371,true
5,0.026808564,97423.47386128196,true
5,0.040011864,67477.29389060581,true
5,0.039565353,120359.15170869874,true
5,0.066224839,84340.73657576609,true
5,0.052630555,111651.17196513507,true
5,0.053328112,105857.44530698658,true
5,0.039928617,72843.46909737229,true
5,0.039420743,76138.65356405037,true
5,0.062673079,56286.44547344406,true
5,0.043703964,80750.65811786367,true
5,0.065664718,85415.0888601641,true
5,0.066690645,42369.649772474986,true
5,0.0529193,45894.43667638609,true
5,0.066151619,72654.35417544573,true
5,0.06606044,43033.45707842991,true
5,0.039797629,91668.55096465872,true
5,0.052908377,56967.28938243661,true
5,0.066126388,40563.453410169524,true
5,0.066021864,66310.35900428364,true
5,0.053148987,58789.40850016461,true
5,0.066162865,74820.43096568236,true
5,0.079299315,68988.98935729857,true
5,0.066171917,68821.22997302208,true
5,0.027061725,59206.397448598975,true
5,0.091995694,79521.59806603473,true
5,0.066176866,56227.36848418511,true
5,0.040142321,44498.23786978036,true
5,0.039328077,35711.05471409729,true
5,0.065800778,63774.42560500671,true
5,0.040159412,70156.73013512186,true
5,0.052484329,74146.20643292487,true
5,0.040298172,79632.62814217078,true
5,0.052711386,46200.47309284447,true
5,0.026340716,80690.71249899137,true
5,0.03972841,95105.85281418217,true
5,0.052613419,61860.006680880724,true
5,0.066086041,93758.78988655187,true
