n,latency,throughput,is_vm
15,0.461299908,992485.6811429734,true
15,0.420921896,978080.1966273336,true
15,0.355159411,994614.0615138299,true
15,0.541011779,1085561.2648852016,true
15,0.487564874,1147430.5813221796,true
15,0.28598791,1194523.235081325,true
15,0.42486639,1146497.111385129,true
15,0.407921809,1163961.670087365,true
15,0.368003912,1003852.085219054,true
15,0.328128363,969782.4059942679,true
15,0.446273553,848990.6778844168,true
15,0.407980128,1153643.302612391,true
15,0.473344133,1021629.2319554025,true
15,0.382070281,1161548.2207353725,true
15,0.473987655,215660.58761771565,true
15,0.44094933,1023454.9098861697,true
15,0.354116312,1093717.6922279522,true
15,0.433600454,1089307.778861135,true
15,0.422191904,1081474.5546522865,true
15,0.446829511,1206921.9697113358,true
15,0.354873949,1115139.101309794,true
15,0.527602697,1037212.4272032485,true
15,0.487529182,1020992.1787755752,true
15,0.37479618,1092742.42903405,true
15,0.400115996,957959.5122514913,true
15,0.388645912,1050612.582217224,true
15,0.453893953,1120545.222206446,true
15,0.474409473,930727.108736098,true
