n,latency,throughput,is_vm
5,0.00018218,82336.1510593918,false
5,0.000203901,73565.11248105697,false
5,0.000217939,68826.59826832279,false
5,0.000286889,52285.03009874899,false
5,0.000212429,70611.82795192747,false
5,0.000178002,84268.71608184178,false
5,0.000292341,51309.94284072368,false
5,0.000173504,86453.3382515677,false
5,0.000262116,57226.57144165179,false
5,0.000117819,127313.93069029613,false
5,0.000258352,58060.32080262587,false
5,0.0002427,61804.69715698393,false
5,0.000306627,48919.371092565234,false
5,0.000241079,62220.26804491474,false
5,0.000356698,42052.380445082395,false
5,0.000347115,43213.344280713885,false
5,0.000119352,125678.66478986527,false
5,0.000302855,49528.652325370225,false
5,0.000264361,56740.593355298246,false
5,0.00012816,117041.19850187267,false
5,0.000151235,99183.39008827321,false
5,0.000173801,86305.6023843361,false
5,0.000240933,62257.97213333167,false
5,0.000167043,89797.23783696414,false
5,0.000164474,91199.8248963362,false
5,0.000160927,93209.96476663332,false
5,0.000239954,62511.98146311377,false
5,0.000150801,99468.83641355163,false
5,0.000169731,88375.13477208052,false
5,0.000121507,123449.67779634095,false
5,0.000138593,108230.57441573527,false
5,0.00013565,110578.69517139699,false
5,0.000145228,103285.86773900349,false
5,0.000142598,105190.81614047884,false
5,0.00017912,83742.7422956677,false
5,0.000245304,61148.61559534292,false
5,0.000190448,78761.65672519534,false
5,0.000152091,98625.1651971517,false
5,0.000222441,67433.61160937058,false
5,0.000138011,108686.98871829057,false
5,0.000392933,38174.44704313458,false
5,0.000682398,21981.307096445184,false
5,0.000207238,72380.54796900183,false
5,0.000145684,102962.57653551521,false
5,0.000161343,92969.63611684424,false
5,0.000161935,92629.75885386113,false
5,0.000178304,84125.98707824838,false
5,0.000336105,44628.91060829205,false
5,0.000365867,40998.5049211872,false
5,0.000224263,66885.75467196996,false
5,0.000138155,108573.70344902464,false
5,0.000142998,104896.57198002769,false
5,0.000291656,51430.45231368461,false
5,0.000405795,36964.477137470894,false
5,0.000156923,95588.2821511187,false
5,0.000330497,45386.1911000705,false
5,0.000410186,36568.77611620094,false
5,0.000128439,116786.95723261626,false
5,0.000132092,113557.21769675681,false
5,0.000149634,100244.59681623161,false
5,0.000140905,106454.70352365068,false
5,0.000181401,82689.73158913126,false
5,0.000150425,99717.46717633371,false
5,0.000153967,97423.47386128196,false
5,0.000222297,67477.29389060581,false
5,0.000124627,120359.15170869874,false
5,0.00017785,84340.73657576609,false
5,0.000134347,111651.17196513507,false
5,0.0001417,105857.44530698658,false
5,0.000205921,72843.46909737229,false
5,0.000197009,76138.65356405037,false
5,0.000266494,56286.44547344406,false
5,0.000185757,80750.65811786367,false
5,0.000175613,85415.0888601641,false
5,0.000354027,42369.649772474986,false
5,0.000326837,45894.43667638609,false
5,0.000206457,72654.35417544573,false
5,0.000348566,43033.45707842991,false
5,0.000163633,91668.55096465872,false
5,0.000263309,56967.28938243661,false
5,0.000369791,40563.453410169524,false
5,0.000226209,66310.35900428364,false
5,0.000255148,58789.40850016461,false
5,0.00020048,74820.43096568236,false
5,0.000217426,68988.98935729857,false
5,0.000217956,68821.22997302208,false
5,0.000253351,59206.397448598975,false
5,0.000188628,79521.59806603473,false
5,0.000266774,56227.36848418511,false
5,0.000337092,44498.23786978036,false
5,0.000420038,35711.05471409729,false
5,0.000235204,63774.42560500671,false
5,0.000213807,70156.73013512186,false
5,0.000202303,74146.20643292487,false
5,0.000188365,79632.62814217078,false
5,0.000324672,46200.47309284447,false
5,0.000185895,80690.71249899137,false
5,0.000157719,95105.85281418217,false
5,0.000242483,61860.006680880724,false
5,0.000159985,93758.78988655187,false
